Item,Category,Sub-Category
Great Value Distilled White Vinegar,Supplies,Cleaning
POWERADE Electrolyte Enhanced Zero Sugar Mixed Berry Sport Drink,Grocery,Drinks
Delimex White Meat Chicken Corn Taquitos Frozen Snacks & Appetizers,Grocery,Frozen
Sam's Choice Dark Chocolate Squares,Grocery,chocolate
Broccoli Florets,Grocery,Veggies
Garlic Bulb Fresh Whole,Grocery,veggies
Blue Sky Farms Free Range Large Brown Eggs,Grocery,Meat
Crystal Farms Sharp Cheddar Block Cheese,Grocery,Cheese
Crystal Farms Pepper Jack Block Cheese,Grocery,Cheese
Fresh Yellow Baby Potatoes,Grocery,veggies
Amy's Indian Mattar Paneer Microwave Meal,Grocery,Frozen
Sam's Choice 90% Cocoa Swiss Dark Chocolate,Grocery,Chocolate
Fresh Banana Fruit,Pets,Food
Sweet Potatoes Whole Fresh,Grocery,Veggies
Brats,Grocery,Meat
Breakfast Sausage,Grocery,Meat
Beef stick,Grocery,Snacks
Reese’s Crispy,Grocery,Snacks
Angel Soft Toilet Paper,supplies,household
King Arthur Baking Company Unbleached Bread Flour,Grocery,Baking
Heinz Simply Tomato Ketchup,Grocery,Sauce
Grassland Unsalted Sweet Cream Butter,Grocery,baking
Suncast 6-inch Indoor/Outdoor Resin Flower Planter,Supplies,Plants
Betty Crocker Bisquick Original Pancake & Baking Mix,Grocery,baking
PLANTERS Honey Roasted Peanuts,Grocery,Snacks
Alani Nu Energy Sticks Cosmic Stardust,Grocery,Energy Drinks
Great Value Energy Pomegranate Lemonade Drink Mix,Grocery,Energy Drinks
Smithfield Marinated Applewood Smoked Bacon Fresh Pork Loin Filet,Grocery,Meat
Marketside Fresh Broccoli Florets,Grocery,veggies
Ravoili’s and Apps,Other,Dining Out
Fresh Step Clean Paws Multi-Cat Scented Litter with Febreze,Pets,Cat
Purina ONE Natural High Protein Dry Puppy Dog Food,Pets,Food
Vibrant Life Large Trapper Litter Mat,Pets,Supplies
Great Value Energy Peach Mango Drink Mix,Grocery,energy Drinks
Stubb's Gluten Free Sticky Sweet Barbecue Sauce,Grocery,Sauce
Fresh Whole Carrots,Grocery,veggies
Fresh Ginger Root,Grocery,veggies
Bragg Gluten-Free Liquid Aminos Soy Protein Seasoning,Grocery,Sauce
Malt-O-Meal Apple Zings Breakfast Cereal,Pets,Food
Sweet and Sour Sauce,Grocery,Sauce
Spicy Nugs,Grocery,Frozen
Party Pizza,Grocery,Frozen
Bellatoria Pizza,Grocery,Frozen
Great Value Milk Whole Vitamin D,Grocery,baking
Quaker Gluten-Free Caramel Rice Cakes,Grocery,Snacks
Quaker Gluten-Free Apple Cinnamon Rice Cakes,Grocery,Snacks
Chosen Foods 100% Pure Toasted Sesame Oil,Grocery,Supplies
Great Value Wonton Strips Salad Topping,Grocery,Snacks
PLANTERS Salted Cocktail Peanuts,Grocery,Snacks
Pagoda Frozen Crunchy Crispy Pork Egg Rolls,Grocery,Frozen
Fresh Green Onions,Grocery,Veggies
Fresh Whole White Onions,Grocery,veggies
Mountain Dew Citrus Soda Pop,Grocery,Energy Drinks
Red Bull Peach Edition Energy Drink,Grocery,Energy Drinks
Vibrant Life Training Pads Dog & Puppy Pads,Pets,Supplies
Raccoon Cage,Pets,Raccoons
Cable Ties,Pets,Raccoons
Malt-O-Meal Honey Nut Scooters Breakfast Cereal,Pets,Food
Dot's Homestyle Honey Mustard Pretzels,Grocery,Snacks
Great Value Pack of 10 Vinyl Form Fitting Disposable Cleaning Gloves,Supplies,Cleaning
Purely Inspired Collagen Peptides Powder with Biotin,supplies,Supplements
Five Spice Powder,Grocery,Spices
Black Pepper,Grocery,Spices
Allspice whole,Grocery,Spices
Fennel Seeds,Grocery,Spices
Fresca Peach,Grocery,Drinks
Orville Redenbacher's Kettle Corn Microwave Popcorn,Grocery,Snacks
Mission Super Soft Extra Thin Yellow Corn Tortillas,Grocery,Carbs
Fresh Sweet Corn on the Cob,Grocery,veggies
Fresh Lime,Grocery,veggies
La Costena Chipotle Peppers in Adobo Sauce,Grocery,Sauce
Fresh Whole Red Onion,Grocery,veggies
Fresh Cilantro,Grocery,veggies
Fresh Jalapeno Pepper,Grocery,veggies
Fresh Plantain,Grocery,veggies
Cazo de Oro Original Kettle Style Corn Tortilla Chips,Grocery,Snacks
Carapelli Original Extra Virgin Olive Oil,Grocery,Supplies
Fresh Hass Avocados,Grocery,veggies
Fresh Lemon,Grocery,Veggies
Cazo de Oro Fire-Roasted Hatch Chile Corn Tortilla Chips,Grocery,Snacks
Del Monte Fire Roasted Whole Kernel Corn,Grocery,veggies
Coca-Cola Zero Sugar Cherry Soda Pop,Grocery,Energy Drinks
Great Value Organic Black Beans,Grocery,veggies
Crystal Farms Marble Jack Shredded Cheese,Grocery,Cheese
Perdue Harvestland Fresh Ground Chicken,Grocery,Meat
Fresh Tomatillos,Grocery,Veggies
Fresh Roma Tomato,Grocery,Veggies
La Costena Chipotle Sauce,Grocery,Sauce
Fresh Iceberg Lettuce,Grocery,Veggies
Great Value Automatic Dishwasher Powder,Supplies,Cleaning
Great Value Liquid Rinse Agent,supplies,cleaning
