date,store,item,qty_wgt,price
2025-02-10,Walmart,"Angel Soft 2-Ply Toilet Paper, 9 Mega Rolls",1,6.36
2025-02-10,Walmart,"Amy's Frozen Meals, Indian Mattar Paneer Microwave Meal, 10 oz",1,5.92
2025-02-10,Walmart,"Amy's Frozen Meals, Indian Mattar Paneer Microwave Meal, 10 oz",1,5.92
2025-02-10,Walmart,"Perdue Harvestland, Free Range, Fresh Boneless Chicken Breast, 2.75-3.8 lb. Tray",3.23 lb,14.76
2025-02-10,Walmart,"Great Value Dry Roasted and Unsalted Peanuts, 16 oz, Jar",1,2.48
2025-02-10,Walmart,"Fresh Banana, Each",2.37 lb,1.19
2025-02-10,Walmart,"POWERADE Zero Sugar Mixed Berry Electrolyte Sports Drink, 20 fl oz, 8 Pack Bottles",1,5.98
2025-02-10,Walmart,"Green ies Original Teen ie Natural Dry Dental Treats for Dogs, 27 oz Pack (96 Treats)",1,32.98
2025-02-10,Walmart,"Chevron Techron Complete Fuel System Cleaner, 10 oz",1,9.36
2025-02-10,Walmart,"Scotch-Brite Stainless Steel Scrubbing Pads, 3 Pack",1,2.48
2025-02-10,Walmart,"Scotch-Brite Stainless Steel Scrubbing Pads, 3 Pack",1,2.48
2025-02-10,Walmart,"Marketside Grass-Fed Ground Beef, 90% Lean/10% Fat, 1 lb",1,6.86
2025-02-10,Walmart,Permatex Clear RTV Silicone Adhesive Sealant - 75151,1,5.84
2025-02-10,Walmart,"Fresh Green Onions Bunch, Each",1,0.96
2025-02-10,Walmart,"Great Value Organic White Sesame Seed , 2.2 oz",1,4.36
2025-02-10,Walmart,Fresh Organic Green Beans 12 oz,1,3.98
2025-02-10,Walmart,"Fresh Whole White Onions, Each",0.68 lb,0.93
2025-02-10,Walmart,"Pen+Gear Packaging Tape with One-Handed Dispenser, Clear, 1.88 in x 25 yds",1,2.98
2025-02-10,Walmart,"Sweet Potatoes Whole Fresh, Each (Batata Mameya)",0.71 lb,0.88
2025-02-10,Walmart,Tax,,6.08
