date,store,item,cost,category,sub-category
2024-09-03,Walmart,Equate Extra Strength Nighttime PM Pain Relief and Sleep-Aid Gelcaps 80 Count,5.67,Supplies,Personal Care
2024-09-03,Walmart,Equate Extra Strength Cool & Heat Pain Relieving Cream 3 oz,3.28,Supplies,Personal Care
2024-09-03,Walmart,Great Value Energy Peach Mango Drink Mix 0.09 oz 10 Count,2.16,Grocery,Energy Drinks
2024-09-03,Walmart,POWERADE ZERO Berry Blast Bottled Electrolyte Sports Drink 20 fl oz 8 Count,5.98,Grocery,Drinks
2024-09-03,Walmart,Tax,0.53,Tax,Tax
2024-09-04,Walmart,Delimex White Meat Chicken Taquitos Frozen Snacks 20 ct Box,5.34,Grocery,Frozen
2024-09-04,Walmart,Red Robin Crispy Onion Rings 14 oz,4.97,Grocery,Frozen
2024-09-04,Walmart,Amy's Frozen Meals Mexican Casserole Bowl Microwave Meals 9.5 oz,5.92,Grocery,Frozen
2024-09-04,Walmart,Kettle Brand Potato Chips Air Fried Himalayan Salt Kettle Chips 6.5 oz Bag,3.58,Grocery,Snacks
2024-09-04,Walmart,bettergoods Chicken Wings with Louisiana Style Dry Rub 22 oz (Frozen),8.84,Grocery,Frozen
2024-09-04,Walmart,Great Value Disinfecting Wipes 300 Count 4 Pack,11.98,Supplies,Cleaning
2024-09-04,Walmart,U Brands 13 Pocket Expandable File 13 x 9.18 x 1.47 in Bountiful Bouquet,7.97,Supplies,Misc
2024-09-04,Walmart,Tax,1.77,Tax,Tax
2024-09-06,Walmart,Angel Soft Toilet Paper 9 Mega Rolls 2-Ply Toilet Tissue,6.36,Supplies,Personal Care
2024-09-06,Walmart,Modern Mill Gluten-Free Farm Fresh Salad Topper 6 oz,2.98,Grocery,Snacks
2024-09-06,Walmart,Perdue Harvestland Free Range Fresh Boneless Chicken Breasts 1.79 lb,9.54,Grocery,Meat
2024-09-06,Walmart,Marketside Fresh Broccoli Florets 32 oz,5.98,Grocery,Veggies
2024-09-06,Walmart,PAM Avocado Oil Non-GMO Cooking Spray 5 oz,3.97,Grocery,Supplies
2024-09-06,Walmart,Fresh Lemon (2),1.36,Grocery,Veggies
2024-09-06,Walmart,Hain Pure Foods Sea Salt 21 oz,2.67,Grocery,Supplies
2024-09-06,Walmart,Garlic Bulb Fresh Whole 0.12 lb,0.53,Grocery,Veggies
2024-09-06,Walmart,Fresh Green Kale Bunch,1.48,Grocery,Veggies
2024-09-06,Walmart,Fresh Brussels Sprouts 1 lb Bag,2.98,Grocery,Veggies
2024-09-06,Walmart,Garlic Bulb Fresh Whole 0.12 lb,0.53,Grocery,Veggies
2024-09-06,Walmart,POWERADE ZERO Berry Blast Bottled Electrolyte Sports Drink 20 fl oz 8 Count,5.98,Grocery,Drinks
2024-09-06,Walmart,Viva Signature Cloth Paper Towels 6 Triple Rolls,15.54,Supplies,Cleaning
2024-09-06,Walmart,Tax,2.47,Tax,Tax
2024-09-07,Walmart,Bigelow Ginger Peach Tumeric Caffeine Free Herbal Tea Bags 18 Count,3.34,Grocery,Drinks
2024-09-07,Walmart,Great Value Energy Peach Mango Drink Mix 0.09 oz 10 Count,2.16,Grocery,Energy Drinks
2024-09-07,Walmart,Fresh Italian Parsley Bunch,0.98,Grocery,Veggies
2024-09-07,Walmart,Sam's Choice Organic Chicken Bone Broth 32 oz Carton,3.17,Grocery,Supplies
2024-09-07,Walmart,Great Value Non-Pareil Capers 3.5 fl oz,1.97,Grocery,Supplies
2024-09-07,Walmart,Kettle Brand Potato Chips Air Fried Jalapeno Kettle Chips 6.5 oz Bag,3.58,Grocery,Snacks
2024-09-09,Walmart,Sam's Choice Dark Chocolate Squares 8.46 ounce (3),6.00,Grocery,Chocolate
2024-09-09,Walmart,Amy's Frozen Meals Indian Mattar Paneer Microwave Meal 10 oz (3),17.76,Grocery,Frozen
2024-09-09,Walmart,Grassland Unsalted Sweet Cream Butter rBST Free Usdaa Certified 16 oz 4 Sticks,4.96,Grocery,Supplies
2024-09-09,Walmart,Yellow Potatoes Whole Fresh 5lb Bag,6.98,Grocery,Veggies
2024-09-09,Walmart,Fresh Cauliflower,2.86,Grocery,Veggies
2024-09-09,Walmart,Great Value Frozen Sweet Peas 12 oz Steamable Bag,0.98,Grocery,Veggies
2024-09-09,Walmart,McCormick Kosher Curry Powder 1.75 oz Bottle,4.12,Grocery,Spices
2024-09-09,Walmart,Fresh Whole Yellow Onion 1.05 lb,1.18,Grocery,Veggies
2024-09-09,Walmart,Fresh Cilantro Bunch,0.68,Grocery,Veggies
2024-09-09,Walmart,Fresh Jalapeno Pepper 0.08 lb,0.13,Grocery,Veggies
2024-09-09,Walmart,Fresh Lime (4),1.00,Grocery,Veggies
2024-09-09,Walmart,Fresh Ginger Root 0.19 lb,0.70,Grocery,Veggies
2024-09-09,Walmart,Garlic Bulb Fresh Whole 0.25 lb,1.11,Grocery,Veggies
2024-09-09,Walmart,Tax,0.53,Tax,Tax
